Material,Thermal Conductivity (W/m*K),Thermal Diffusivity (mm2/s),Specific Heat Capacity (J/kg*K),Volumetric Specific Heat (MJ/m³K),Thermal Effusivity (Ws0.5/(m2K)),Material Density (kg/m3),Durability (d),Price (c) ($/m^3),Material_encoded,Thickness,Weight,Cost
francium,12.5520,7.3500,142,1.7040,4630.0000,12000.0000,58.1141,43.1316,258,0.0100,120.0000,0.4313
francium,12.5520,7.3500,142,1.7040,4630.0000,12000.0000,58.1141,43.1316,258,0.0325,390.0000,1.4018
francium,12.5520,7.3500,142,1.7040,4630.0000,12000.0000,58.1141,43.1316,258,0.0550,660.0000,2.3722
francium,12.5520,7.3500,142,1.7040,4630.0000,12000.0000,58.1141,43.1316,258,0.0775,930.0000,3.3427
francium,12.5520,7.3500,142,1.7040,4630.0000,12000.0000,58.1141,43.1316,258,0.1000,1200.0000,4.3132
francium,12.5520,7.3500,142,1.7040,4630.0000,12000.0000,58.1141,43.1316,258,301.2480,3614976.0000,12993.3052
francium,12.5520,7.3500,142,1.7040,4630.0000,12000.0000,58.1141,43.1316,258,209.2000,2510400.0000,9023.1286
cobalt alloy hs-36 (cast),9.3720,2.6900,385,3.4800,5711.0000,9040.0000,44.4334,49.7207,173,0.0100,90.4000,0.4972
cobalt alloy hs-36 (cast),9.3720,2.6900,385,3.4800,5711.0000,9040.0000,44.4334,49.7207,173,0.0325,293.8000,1.6159
cobalt alloy hs-36 (cast),9.3720,2.6900,385,3.4800,5711.0000,9040.0000,44.4334,49.7207,173,0.0550,497.2000,2.7346
cobalt alloy hs-36 (cast),9.3720,2.6900,385,3.4800,5711.0000,9040.0000,44.4334,49.7207,173,0.0775,700.6000,3.8534
cobalt alloy hs-36 (cast),9.3720,2.6900,385,3.4800,5711.0000,9040.0000,44.4334,49.7207,173,0.1000,904.0000,4.9721
cobalt alloy hs-36 (cast),9.3720,2.6900,385,3.4800,5711.0000,9040.0000,44.4334,49.7207,173,224.9280,2033349.1200,11183.5783
cobalt alloy hs-36 (cast),9.3720,2.6900,385,3.4800,5711.0000,9040.0000,44.4334,49.7207,173,156.2000,1412048.0000,7766.3738
phenolic molded (high density  k),0.6740,0.1800,1255,3.7650,1593.0000,3000.0000,38.2531,81.2443,546,0.0100,30.0000,0.8124
phenolic molded (high density  k),0.6740,0.1800,1255,3.7650,1593.0000,3000.0000,38.2531,81.2443,546,0.0325,97.5000,2.6404
phenolic molded (high density  k),0.6740,0.1800,1255,3.7650,1593.0000,3000.0000,38.2531,81.2443,546,0.0550,165.0000,4.4684
phenolic molded (high density  k),0.6740,0.1800,1255,3.7650,1593.0000,3000.0000,38.2531,81.2443,546,0.0775,232.5000,6.2964
phenolic molded (high density  k),0.6740,0.1800,1255,3.7650,1593.0000,3000.0000,38.2531,81.2443,546,0.1000,300.0000,8.1244
phenolic molded (high density  k),0.6740,0.1800,1255,3.7650,1593.0000,3000.0000,38.2531,81.2443,546,16.1760,48528.0000,1314.2071
phenolic molded (high density  k),0.6740,0.1800,1255,3.7650,1593.0000,3000.0000,38.2531,81.2443,546,11.2333,33700.0000,912.6439
polyvinyl chloride  flexible,0.1670,0.0700,1674,2.5110,648.0000,1500.0000,47.0750,66.6213,574,0.0100,15.0000,0.6662
polyvinyl chloride  flexible,0.1670,0.0700,1674,2.5110,648.0000,1500.0000,47.0750,66.6213,574,0.0325,48.7500,2.1652
polyvinyl chloride  flexible,0.1670,0.0700,1674,2.5110,648.0000,1500.0000,47.0750,66.6213,574,0.0550,82.5000,3.6642
polyvinyl chloride  flexible,0.1670,0.0700,1674,2.5110,648.0000,1500.0000,47.0750,66.6213,574,0.0775,116.2500,5.1632
polyvinyl chloride  flexible,0.1670,0.0700,1674,2.5110,648.0000,1500.0000,47.0750,66.6213,574,0.1000,150.0000,6.6621
polyvinyl chloride  flexible,0.1670,0.0700,1674,2.5110,648.0000,1500.0000,47.0750,66.6213,574,4.0080,6012.0000,267.0183
polyvinyl chloride  flexible,0.1670,0.0700,1674,2.5110,648.0000,1500.0000,47.0750,66.6213,574,2.7833,4175.0000,185.4294
manganese silicide (MnSi2),7.1970,2.3400,586,3.0710,4700.0000,5240.0000,38.1255,71.6371,406,0.0100,52.4000,0.7164
manganese silicide (MnSi2),7.1970,2.3400,586,3.0710,4700.0000,5240.0000,38.1255,71.6371,406,0.0325,170.3000,2.3282
manganese silicide (MnSi2),7.1970,2.3400,586,3.0710,4700.0000,5240.0000,38.1255,71.6371,406,0.0550,288.2000,3.9400
manganese silicide (MnSi2),7.1970,2.3400,586,3.0710,4700.0000,5240.0000,38.1255,71.6371,406,0.0775,406.1000,5.5519
manganese silicide (MnSi2),7.1970,2.3400,586,3.0710,4700.0000,5240.0000,38.1255,71.6371,406,0.1000,524.0000,7.1637
manganese silicide (MnSi2),7.1970,2.3400,586,3.0710,4700.0000,5240.0000,38.1255,71.6371,406,172.7280,905094.7200,12373.7304
manganese silicide (MnSi2),7.1970,2.3400,586,3.0710,4700.0000,5240.0000,38.1255,71.6371,406,119.9500,628538.0000,8592.8683
boron nitride (BN) (perp pr axis 95 d),32.8440,19.7000,795,1.6700,7405.0000,2100.0000,78.4666,52.5475,92,0.0100,21.0000,0.5255
boron nitride (BN) (perp pr axis 95 d),32.8440,19.7000,795,1.6700,7405.0000,2100.0000,78.4666,52.5475,92,0.0325,68.2500,1.7078
boron nitride (BN) (perp pr axis 95 d),32.8440,19.7000,795,1.6700,7405.0000,2100.0000,78.4666,52.5475,92,0.0550,115.5000,2.8901
boron nitride (BN) (perp pr axis 95 d),32.8440,19.7000,795,1.6700,7405.0000,2100.0000,78.4666,52.5475,92,0.0775,162.7500,4.0724
boron nitride (BN) (perp pr axis 95 d),32.8440,19.7000,795,1.6700,7405.0000,2100.0000,78.4666,52.5475,92,0.1000,210.0000,5.2547
boron nitride (BN) (perp pr axis 95 d),32.8440,19.7000,795,1.6700,7405.0000,2100.0000,78.4666,52.5475,92,788.2560,1655337.6000,41420.8703
boron nitride (BN) (perp pr axis 95 d),32.8440,19.7000,795,1.6700,7405.0000,2100.0000,78.4666,52.5475,92,547.4000,1149540.0000,28764.4933
