Material,Thermal Conductivity (W/m*K),Thermal Diffusivity (mm2/s),Specific Heat Capacity (J/kg*K),Volumetric Specific Heat (MJ/m³K),Thermal Effusivity (Ws0.5/(m2K)),Material Density (kg/m3),Durability (d),Price (c) ($/m^3),Material_encoded,Thickness,Weight,Cost
uranium oxide + st steel (UO2 70 vol),7.9500,2.3800,335,3.3500,5158.0000,10000.0000,36.8561,52.4611,850,0.0100,100.0000,0.5246
uranium oxide + st steel (UO2 70 vol),7.9500,2.3800,335,3.3500,5158.0000,10000.0000,36.8561,52.4611,850,0.0325,325.0000,1.7050
uranium oxide + st steel (UO2 70 vol),7.9500,2.3800,335,3.3500,5158.0000,10000.0000,36.8561,52.4611,850,0.0550,550.0000,2.8854
uranium oxide + st steel (UO2 70 vol),7.9500,2.3800,335,3.3500,5158.0000,10000.0000,36.8561,52.4611,850,0.0775,775.0000,4.0657
uranium oxide + st steel (UO2 70 vol),7.9500,2.3800,335,3.3500,5158.0000,10000.0000,36.8561,52.4611,850,0.1000,1000.0000,5.2461
uranium oxide + st steel (UO2 70 vol),7.9500,2.3800,335,3.3500,5158.0000,10000.0000,36.8561,52.4611,850,190.8000,1908000.0000,10009.5702
uranium oxide + st steel (UO2 70 vol),7.9500,2.3800,335,3.3500,5158.0000,10000.0000,36.8561,52.4611,850,132.5000,1325000.0000,6951.0904
beryllium alloy (Be98.5) (as received),133.8900,40.8000,1799,3.2800,20955.0000,1823.0000,47.9459,62.2906,80,0.0100,18.2300,0.6229
beryllium alloy (Be98.5) (as received),133.8900,40.8000,1799,3.2800,20955.0000,1823.0000,47.9459,62.2906,80,0.0325,59.2475,2.0244
beryllium alloy (Be98.5) (as received),133.8900,40.8000,1799,3.2800,20955.0000,1823.0000,47.9459,62.2906,80,0.0550,100.2650,3.4260
beryllium alloy (Be98.5) (as received),133.8900,40.8000,1799,3.2800,20955.0000,1823.0000,47.9459,62.2906,80,0.0775,141.2825,4.8275
