Material,Thermal Conductivity (W/m*K),Thermal Diffusivity (mm2/s),Specific Heat Capacity (J/kg*K),Volumetric Specific Heat (MJ/m³K),Thermal Effusivity (Ws0.5/(m2K)),Material Density (kg/m3),Durability (d),Price (c) ($/m^3)
francium,12.552,7.35,142,1.704,4630.0,12000.0,58.114136,43.13159
cobalt alloy hs-36 (cast),9.372,2.69,385,3.48,5711.0,9040.0,44.43341,49.720703
phenolic molded (high density  k),0.674,0.18,1255,3.765,1593.0,3000.0,38.253113,81.24426
polyvinyl chloride  flexible,0.167,0.07,1674,2.511,648.0,1500.0,47.075012,66.62134
manganese silicide (MnSi2),7.197,2.34,586,3.071,4700.0,5240.0,38.12549,71.637085
boron nitride (BN) (perp pr axis 95 d),32.844,19.7,795,1.67,7405.0,2100.0,78.46661,52.547485
iron sulfide (FeS2) (single crystal),37.907,13.6,557,2.785,10270.0,5000.0,59.303406,31.029785
steel carbon type 1020 (0.2 - 0.6 c),71.128,19.7,460,3.616,16040.0,7860.0,35.53784,27.233398
uranium oxide (U3O8) (prsd at 4200 psi),0.544,0.24,276,2.291,1116.0,8300.0,73.82861,46.47119
mica insulating powder,0.121,0.44,837,0.276,183.0,330.0,52.44635,42.93213
alumina brick (Al2O3 53) (20 p),1.381,0.79,753,1.754,1557.0,2330.0,51.85388,61.47534
magnesium oxide (MgO) (polyxtal 100 d),61.923,18.8,921,3.297,14285.0,3580.0,28.138489,33.377808
zirconium oxide (ZrO2) (monoc.  100 d),1.849,0.73,456,2.535,2166.0,5560.0,50.07318,60.981323
uranium,26.443,11.8,117,2.235,7694.0,19100.0,46.094055,39.854248
silver chloride (AgCl) (single crystal),1.134,0.57,356,1.979,1497.0,5560.0,59.34961,83.77075
brass tin (naval and admiralty),112.97,35.5,377,3.189,18972.0,8460.0,40.81848,49.704468
rhodium,150.62,50.1,243,3.013,21291.0,12400.0,38.556824,62.48523
zinc antimonide (ZnSb),2.343,1.37,272,1.714,2004.0,6300.0,58.72577,78.827515
soil clay (wet),1.506,0.34,2929,4.394,2572.0,1500.0,42.315674,81.548706
soil (av props),0.837,0.62,1046,1.36,1067.0,1300.0,53.05652,56.117065
etbe (ethyl tert-butyl ether),0.14,0.0824,2207,1.699,487.7,770.0,54.616272,61.090576
aluminum alloy 7075-t6 (as received),121.34,51.8,837,2.344,16864.0,2801.0,62.129944,64.81372
zirconium alloys zircalloy 2 and 3,13.807,7.19,293,1.922,5151.0,6560.0,70.3111,59.35132
cellulose proprionate (low k),0.167,0.1,1464,1.757,542.0,1200.0,48.157166,63.963135
lead telluride (PbTe) (polyxtal),2.343,1.91,151,1.232,1697.0,8160.0,55.437805,61.62085
tungsten titanium carbide k84,53.137,12.1,377,4.411,15301.0,11700.0,30.36206,18.942749
krypton (gas),0.009,99.9,247,0.0,1.0,0.3733,53.214172,14.265747
fermium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
rattan,4.184,0.52,540,8.1,5820.0,15000.0,25.781067,55.15747
butyl rubber,0.088,0.05,1966,1.769,394.0,900.0,51.68274,63.242065
sand (dry) (avg prop),0.335,0.28,753,1.205,635.0,1600.0,53.70703,53.481567
aluminum oxide + cr (Al2O3 23 Cr 77),46.024,15.5,502,2.962,11677.0,5900.0,48.84021,28.025635
concrete  1-4 dry,0.753,0.5,657,1.511,1067.0,2300.0,53.298645,58.04248
sapphire - aluminum oxide (Al2O3) (single xtal),43.932,14.2,778,3.096,11665.0,3980.0,50.59015,30.272095
nickel alloy incoloy,12.134,3.35,452,3.621,6627.0,8010.0,50.98987,43.430298
nickel alloy monel  kr (annealed),18.828,5.07,439,3.71,8360.0,8450.0,47.583435,32.46045
Graphite Sheet 70 um (in-plane),800.0,855.0,850,0.935,27350.0,1100.0,56.815918,48.974365
neoprene rubber,0.192,0.07,2176,2.72,724.0,1250.0,53.288025,65.98584
silicon carbide (SiC) (frit bnd brick),46.024,25.2,678,1.831,9178.0,2700.0,87.472595,51.831055
iron grey cast pearlitic (3.0-3.2 c),50.208,15.2,460,3.307,12889.0,7190.0,46.265015,19.951782
slate (avg prop),1.883,0.82,837,2.31,2085.0,2760.0,45.013184,65.52234
bismuth,8.368,7.08,121,1.18,3146.0,9750.0,58.167236,59.446777
hard fired silica brick (SiO2 94-95),1.674,1.24,753,1.355,1506.0,1800.0,55.453857,53.983887
steel stainless 304,14.644,3.68,502,3.976,7631.0,7920.0,52.125854,41.23413
octane  (25 °C),0.12463,0.080089,2228,1.556,35.0,699.0,54.616272,61.090576
limestone (H2O 15.3),0.92,0.61,921,1.52,1182.0,1650.0,51.82367,58.704712
alumina brick (Al2O3 53) (20 p),1.381,0.79,753,1.754,1557.0,2330.0,51.85388,61.47534
melamine asbestos filled (mst 95-205),0.628,0.2,1674,3.097,1394.0,1850.0,44.641174,71.218994
titanium alloy (Ti Bal  Sn4.8  Al4.5),7.531,3.2,523,2.354,4210.0,4500.0,72.077576,60.187256
magnesium alloy a3a (wrought),108.78,60.0,1025,1.814,14048.0,1770.0,63.356567,63.713745
solder (Pb50 Sn50),46.024,24.3,213,1.894,9344.0,8890.0,53.376343,54.34143
boron nitride (BN) (prs axis 94 d),20.92,12.5,795,1.67,5910.0,2100.0,71.36731,52.06067
boron nitride (BN) (perp pr axis 95 d),32.844,19.7,795,1.67,7405.0,2100.0,78.46661,52.547485
aluminum oxide foam (Al2O3),0.042,0.11,778,0.389,128.0,500.0,52.597595,44.197144
silicon nitride (Si3N4) (70 pc dense),1.548,1.02,690,1.518,1533.0,2200.0,54.761353,56.70862
steel stainless 201 and 202,16.318,4.22,502,3.865,7943.0,7700.0,51.647583,37.574707
titanium carbide cermet k151a,22.594,7.16,544,3.155,8442.0,5800.0,48.99176,34.415283
nickel alloy m-252 (ge j-1500),9.623,2.67,439,3.604,5891.0,8210.0,50.67279,48.40442
light mineral oil,0.129,0.08,1717,1.511,441.0,880.0,51.70941,61.452637
potassium bromide (KBr) (single xtal),4.812,4.02,435,1.196,2399.0,2750.0,57.45819,54.687866
steel stainless 430  430f  and 431,16.736,4.69,460,3.565,7726.0,7750.0,49.84308,35.3844
antimony telluride (sb2te3) (polyxtal),4.602,3.39,209,1.359,2502.0,6500.0,54.950073,60.7041
lead alloy (Pb50 Sn50) (solder),46.024,24.3,213,1.894,9344.0,8890.0,53.376343,54.34143
silicon carbide (SiC) (frit bnd brick),46.024,25.2,678,1.831,9178.0,2700.0,87.472595,51.831055
tantalum nitride (tan),7.95,2.7,205,2.944,4838.0,14360.0,41.139587,34.389893
tungsten carbide (WC),41.84,14.6,184,2.87,10962.0,15600.0,25.234375,42.00061
nickel alloy nimonic 100,11.297,3.07,460,3.68,6449.0,8000.0,51.430664,45.313843
nickel alloy duranickel (and -r) (soft),18.41,5.12,435,3.593,8134.0,8260.0,47.40808,33.302734
melamine (low dens  low k),0.167,0.07,1674,2.344,626.0,1400.0,47.17151,66.55066
magnesite brick b (MgO 93) (22.6 p),4.812,2.08,837,2.31,3334.0,2760.0,51.388794,64.65918
calcium oxide (CaO) (packed pwd 50 d),0.318,0.25,753,1.28,638.0,1700.0,53.81604,54.39331
nickel alloy (Ni35 Cr20 Fe45),12.97,3.55,460,3.657,6889.0,7950.0,51.157715,41.932373
mmh (monomethyl hydrazine),0.25,0.0969,2950,2.581,803.1,875.0,57.10376,67.79834
radon gas,0.004,4.59,94,0.001,2.0,9.73,51.890503,38.237793
foamed glass,0.035,0.32,753,0.108,61.0,144.0,52.1969,40.844482
polyvinyl butyral,0.084,0.05,1674,1.841,393.0,1100.0,48.664673,65.4375
hard fired silica brick (SiO2 94-95),1.674,1.24,753,1.355,1506.0,1800.0,55.453857,53.983887
titanium alloy (Ti Bal Al4 V1 Mo0.6),8.368,3.42,544,2.448,4526.0,4500.0,72.90442,59.190674
mahogany wood (across grain),0.13,0.1,2301,1.243,401.0,540.0,54.58307,60.812134
teak wood (across grain),0.142,0.12,2301,1.243,420.0,540.0,54.58264,60.808594
calcium boride (CaB6),39.162,12.7,1255,3.087,10996.0,2460.0,28.809875,58.807617
lithium,71.128,38.2,3515,1.863,11511.0,530.0,46.263733,48.2041
air,0.025,19.4,1004,0.001,6.0,1.29,51.73767,37.001953
uranium alloy (U97 fs3),21.338,9.29,126,2.306,7000.0,18300.0,45.34674,36.990967
tin,61.086,37.0,226,1.652,10044.0,7310.0,75.99078,62.229004
titanium alloy (Ti Bal V14 Cr10 Al4),7.95,2.96,527,2.688,4623.0,5100.0,59.72931,61.25464
iron oxide - magnatite (FeO.Fe2O3),5.021,1.48,653,3.396,4128.0,5200.0,34.292114,77.76221
nickel alloy hy mu 80,33.388,8.53,448,3.916,11430.0,8740.0,45.34613,16.700195
magnesium alloy (Mg Ag2.5 Ce2 Zr0.6),112.97,64.5,962,1.751,14066.0,1820.0,64.05591,62.93347
granite (avg prop),2.51,1.13,837,2.218,2359.0,2650.0,48.571716,65.22949
niobium silicide (NbSi2),41.84,17.2,460,2.433,10092.0,5290.0,67.231995,44.549072
iron ingot (fe99.9+),71.128,20.2,448,3.526,15831.0,7870.0,36.37329,28.988037
lx-04 h.e. (hmx 85  viton a 15),0.448,0.23,1023,1.913,925.0,1870.0,47.174988,65.23889
chromium,87.864,27.4,448,3.208,16782.0,7160.0,39.14258,43.208008
tourmaline,4.602,1.77,837,2.595,3455.0,3100.0,53.42621,66.545166
aluminum silicate (3Al2O3.2SiO2) (100d),6.276,2.56,766,2.451,3921.0,3200.0,62.640564,63.105347
tungsten carbide cermet k801 (WC + Ni),82.006,26.5,209,3.093,15934.0,14800.0,20.586914,52.042236
cobalt oxide (CoO),10.042,2.21,703,4.541,6753.0,6460.0,33.870422,61.610962
vermiculite insulating powder,0.121,0.54,837,0.226,166.0,270.0,52.374756,42.33252
steel high speed (m1  m10  m-2  ti),35.564,9.42,460,3.772,11585.0,8200.0,46.30139,16.13379
bismuth telluride (Bi2Te3-P) (plane dr),2.51,2.11,154,1.186,1728.0,7700.0,55.410156,60.972656
