Material,Thermal Conductivity (W/m*K),Thermal Diffusivity (mm2/s),Specific Heat Capacity (J/kg*K),Volumetric Specific Heat (MJ/m³K),Thermal Effusivity (Ws0.5/(m2K)),Material Density (kg/m3),Durability (d),Price (c) ($/m^3)
uranium oxide + st steel (UO2 70 vol),7.95,2.38,335,3.35,5158.0,10000.0,36.85614,52.46106
beryllium alloy (Be98.5) (as received),133.89,40.8,1799,3.28,20955.0,1823.0,47.94586,62.29065
soil clay (wet),1.506,0.34,2929,4.394,2572.0,1500.0,42.315674,81.548706
titanium alloy hylite 60 (imi),7.531,3.1,523,2.432,4280.0,4650.0,70.78302,60.485962
epoxy der 332 (c) hysol 6000-op (k),0.195,0.14,1172,1.418,525.0,1210.0,51.75049,57.823242
iron (0 to 3000 deg c),71.965,20.4,448,3.526,15924.0,7870.0,36.135498,29.592651
sodium (liquid),84.517,65.8,1381,1.284,10419.0,930.0,59.56018,55.003662
cobalt alloy wi-52 (cr coated sample),19.665,5.6,418,3.511,8313.0,8400.0,45.390137,32.598145
thallium,38.911,25.3,130,1.541,7733.0,11850.0,55.371277,63.83557
silicon boride (SiB4),9.832,3.82,1046,2.573,5030.0,2460.0,46.157288,69.721924
alumina brick high k (Al2O3 87) (22 p),2.929,1.37,753,2.146,2507.0,2850.0,50.55432,64.005005
barium titanate (BaO.TiO2) (sintered),3.389,1.31,439,2.59,2964.0,5900.0,51.92389,60.585327
niobium beryllide (NbBe12) (hp  93-97d),23.012,7.44,1105,3.094,8438.0,2800.0,35.264526,70.958496
potassium bromide (KBr) (single xtal),4.812,4.02,435,1.196,2399.0,2750.0,57.45819,54.687866
titanium carbide cermet k162b,19.246,5.9,544,3.264,7925.0,6000.0,47.560303,39.187256
beryllium oxide (BeO) (96 pc dens),255.22,84.1,1046,3.033,27824.0,2900.0,58.08838,62.811035
polyurethane foam  flexible,0.042,0.4,1757,0.105,66.0,60.0,52.673462,44.831787
cobalt alloy k-42b,12.552,3.57,418,3.511,6642.0,8400.0,48.117126,42.506348
cobalt alloy (Co64 Cr30 W6),12.552,3.56,418,3.528,6658.0,8440.0,48.128906,42.513306
steel stainless series 400,23.43,7.01,431,3.34,8847.0,7750.0,46.381836,30.759521
brass aluminum (Cu76 Zn22 Al2),100.42,31.0,377,3.242,18034.0,8600.0,36.80548,45.948853
aluminum alloy (Al84.0 average trtmt),125.52,52.9,879,2.373,17256.0,2700.0,62.0166,64.75757
plutonium phosphide (PuP) (90 pc dense),5.439,2.39,230,2.275,3518.0,9890.0,56.151062,45.284912
aluminum alloy (Al98.0 average trtmt),188.28,79.4,879,2.373,21134.0,2700.0,63.57086,65.52771
norway pine wood (across grain),0.151,0.12,2301,1.266,437.0,550.0,54.60089,60.96167
iron ni-resist type 3 (cast),39.33,11.6,460,3.404,11573.0,7400.0,47.959656,19.586426
brass cartridge (Cu70 Zn30),100.42,28.0,418,3.582,18976.0,8570.0,31.12091,43.396362
olive oil,0.171,0.09,1970,1.812,557.0,920.0,51.621338,63.286987
nickel alloy d and e,44.769,11.1,460,4.048,13465.0,8800.0,41.476257,9.615723
sapphire - aluminum oxide (Al2O3) (polyxtal 100 d),38.493,12.4,778,3.096,10919.0,3980.0,53.18048,33.921753
polyester glass fiber reinforced  tac,0.176,0.13,1130,1.39,494.0,1230.0,52.07007,57.25659
tungsten carbide cermet carboloy 905,100.42,31.8,209,3.156,17811.0,15100.0,19.474487,54.47461
magnesium alloy zw3(x) (zk31) (wrought),125.52,72.5,962,1.732,14745.0,1800.0,64.7724,64.15076
cerium,10.878,8.32,193,1.31,3771.0,6790.0,60.14691,61.656372
niobium nitride (Nb2N),7.95,2.97,322,2.676,4614.0,8310.0,43.031555,48.93701
silver antimony telluride (SnTe 25 pc),0.983,0.72,209,1.359,1156.0,6500.0,55.917603,65.06384
cobalt alloy wi-A664:G67052,25.104,7.14,418,3.511,9393.0,8400.0,44.473328,27.292725
titanium carbide (TiC) (93 pc dense),16.318,6.29,569,2.595,6507.0,4560.0,76.94354,44.102783
cobalt alloy hs-23,13.389,3.75,418,3.57,6917.0,8540.0,47.722412,41.062378
magnesium alloy bz33a(ac ah) (casting),100.42,53.5,1025,1.876,13725.0,1830.0,62.53241,63.41211
antimony telluride (Sb2Te3),3.305,2.43,209,1.359,2120.0,6500.0,54.947388,60.850952
iron ni-hard types 1 and 2 (kovar),14.226,4.02,460,3.542,7100.0,7700.0,50.428955,39.693848
pyrex glass,1.13,0.7,728,1.616,1351.0,2220.0,52.824158,59.307617
n-heptane  (25 °C),0.1222,0.08004,2247,1.527,35.0,680.0,54.616272,61.090576
vegetable oil,0.15,0.0833,2000,1.8,519.7,900.0,51.978516,63.025146
air,0.025,19.4,1004,0.001,6.0,1.29,51.73767,37.001953
thorium boride (ThB4),15.899,3.81,494,4.174,8144.0,8450.0,51.659424,38.666138
potassium bromide (KBr 50),2.51,2.0,531,1.253,1774.0,2360.0,55.31842,54.040527
titanium oxide (TiO2) (rutile  a axis),8.786,3.01,686,2.916,5062.0,4250.0,54.91748,73.52161
lithium manganese selenide (97mn.3li.-),2.803,1.32,385,2.118,2436.0,5500.0,57.86737,80.6698
magnesium alloy ze10a(o h24) (wrought),135.98,75.4,1025,1.804,15662.0,1760.0,65.08374,66.277466
cobalt silicide (cos),9.623,2.49,586,3.868,6100.0,6600.0,42.45929,57.51367
manganese oxide (MnO) (single xtal),10.042,3.09,603,3.256,5716.0,5400.0,35.891724,65.8396
pine wood (with grain),0.343,0.27,2301,1.266,659.0,550.0,54.596924,60.9281
nitric acid,0.29,0.096,2000,3.02,935.9,1510.0,50.48651,68.91101
diallyl phthalate (dapon),0.305,0.16,1130,1.865,755.0,1650.0,47.549683,64.546265
polystyrene (modified),0.084,0.06,1339,1.446,348.0,1080.0,51.29724,58.84912
copper alloy nickel silver (Ni 10-20),33.472,10.1,377,3.318,10532.0,8800.0,39.40039,28.361938
beryl - beryllium aluminosilicate (3BeO.Al2O3.6SiO2),6.276,1.89,1255,3.326,4569.0,2650.0,23.067444,85.05994
potassium chromate (K2O.2CrO3) (m axis),1.715,0.7,921,2.468,2057.0,2680.0,42.615112,67.54285
particle board (high density),0.17,0.1381,1300,0.611,1000.0,470.0,53.06067,48.072144
tungsten oxide (Wo3) (polyxtal. porous),25.104,11.3,310,2.22,7460.0,7160.0,48.901855,50.00354
mercury (liquid),8.368,4.49,138,1.863,3950.0,13500.0,59.61566,35.237305
fermium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
cobalt alloy jessop g-32,14.644,4.24,418,3.453,7114.0,8260.0,46.49774,39.437866
titanium alloy (Ti Bal Al4 V2 Mo1),8.368,3.42,544,2.448,4526.0,4500.0,72.90442,59.190674
andalusite - aluminum silicate (Al2O3.SiO2) (ortho xtal),11.004,4.55,770,2.418,5158.0,3140.0,71.2074,59.344727
lead alloy (Pb50 Sn50) (solder),46.024,24.3,213,1.894,9344.0,8890.0,53.376343,54.34143
cesium (liquid),25.104,54.4,251,0.462,3405.0,1840.0,62.96466,38.001465
nickel alloy nimonic 80,11.715,3.09,460,3.795,6669.0,8250.0,51.666016,44.61841
copper oxide (CuO) (tenorite),17.991,5.17,536,3.484,7914.0,6500.0,48.75824,38.936157
nickel alloy d and e,44.769,11.1,460,4.048,13465.0,8800.0,41.476257,9.615723
radium,12.552,22.1,113,0.565,2668.0,5000.0,73.968445,54.80945
aluminum (liquid),92.048,36.0,1084,2.558,15345.0,2360.0,56.208008,59.158813
nickel alloy calite n,13.807,3.65,460,3.781,7227.0,8220.0,50.982666,40.380005
technicium,12.552,4.5,243,2.795,5919.0,11500.0,35.501343,39.21643
niobium alloy (Nb85 Ti10 Zr5),29.288,14.8,255,1.981,7621.0,7770.0,50.188232,52.091187
iron grey cast pearlitic (2.3-3.0 c),41.84,12.6,460,3.307,11766.0,7190.0,47.76648,21.064087
uranium carbide (UC) (sintered 90d),17.364,6.96,203,2.497,6583.0,12300.0,33.9588,37.524048
brass cartridge (Cu70 Zn30),100.42,28.0,418,3.582,18976.0,8570.0,31.12091,43.396362
arsenic  grey,4.184,2.21,331,1.897,2815.0,5730.0,58.899902,79.57898
oil (motor oil 10W30),0.158,0.09,1990,1.703,519.0,856.0,52.24579,62.82898
spruce wood (with grain),0.23,0.45,1255,0.515,344.0,410.0,52.890747,46.65039
shale (avg prop),1.674,0.83,837,2.009,1833.0,2400.0,49.088013,64.39368
helium (gas),0.15,164.0,5188,0.001,12.0,0.177,54.616272,61.090576
steel stainless (Cr 16-26  Ni 8-36),14.644,3.65,502,4.016,7670.0,8000.0,52.132202,41.36743
manganese telluride (99mnte.nate),1.841,0.8,402,2.291,2053.0,5700.0,56.573486,71.12744
tungsten titanium carbide k84,53.137,12.1,377,4.411,15301.0,11700.0,30.36206,18.942749
tungsten carbide cermet k701,53.974,18.4,209,2.926,12573.0,14000.0,23.085205,46.218994
olive oil,0.171,0.09,1970,1.812,557.0,920.0,51.621338,63.286987
Graphite Sheet 70 um (in-plane),800.0,855.0,850,0.935,27350.0,1100.0,56.815918,48.974365
propane,0.13,0.097,2140,1.243,417.4,581.0,54.48761,60.012817
copper wrought,376.56,112.0,377,3.355,35526.0,8900.0,54.616272,61.090576
uranium oxide (UO2) (single crystal),10.46,3.93,243,2.663,5275.0,10960.0,39.223083,40.099
flint glass,0.753,0.63,502,1.205,953.0,2400.0,53.85321,54.704224
magnesium alloy zre1(aa) (casting),100.42,54.4,1025,1.845,13612.0,1800.0,62.55945,62.956787
aluminum silicate (3Al2O3.2SiO2) (100d),6.276,2.56,766,2.451,3921.0,3200.0,62.640564,63.105347
aluminum alloy 2024-t4 and 24s-24 (ar),118.41,50.9,837,2.327,16597.0,2780.0,62.19458,64.8457
titanium alloy ti155a (Al5 Fe2 Cr1 Mo1),8.368,3.42,544,2.448,4526.0,4500.0,72.90442,59.190674
diallyl phthalate (dapon),0.305,0.16,1130,1.865,755.0,1650.0,47.549683,64.546265
barium titanate (BaO.TiO2) (+mn nb ox),1.297,0.5,439,2.59,1833.0,5900.0,51.511963,55.319458
iron ductile (Mg containing),33.054,9.98,460,3.312,10465.0,7200.0,49.028748,23.750854
iron (-273 to 763 deg c),71.965,20.4,448,3.526,15924.0,7870.0,36.135498,29.592651
carbon diamond gem quality type 1,543.92,306.0,506,1.776,31090.0,3510.0,67.13806,67.29553
armco iron,74.0,20.24,850,6.681,22200.0,7860.0,0.0,34.779297
nickel alloy nimonic 100,11.297,3.07,460,3.68,6449.0,8000.0,51.430664,45.313843
tungsten oxide (Wo3) (polyxtal. porous),25.104,11.3,310,2.22,7460.0,7160.0,48.901855,50.00354
