Material,Thickness,Weight,Cost,Durability
aluminum fluosilicate (topaz) (2 AlFS.SiO2) (a-axis),0.010000602526857189,0.021977096484278157,0.01483312157484678,0.13592503
lithium hydride (lih) (cast gas voids),0.010042076621528513,0.008072768939621017,0.01630242006310366,0.4731288999999995
steel stainless (Cr 12-13 Ni 0-3),0.010000992631025576,0.04542428063515416,0.006418329996730317,0.4539552299999998
iron ductile,0.010006657302040808,0.043660304061479055,0.00603179131644352,0.42338012999999963
yttrium,0.01034199703348253,0.029851516443996418,0.012720516406603774,0.9317498000000008
sodium (liquid),0.010038066745482674,0.010939997815582936,0.02041714610035556,0.5922708299999998
boron nitride (Bn 80 C 20) (prs axis),0.01000001921116356,0.011079203355539096,0.015523633499696831,0.34664365999999985
aluminum fluosilicate (topaz) (2 AlFO.SiO2) (c-axis),0.010000004083357031,0.022162765073820548,0.015190418736376929,0.18324090999999992
aluminum fluosilicate (topaz) (2 AlFS.SiO2) (a-axis),0.01000038628396638,0.021977096484278157,0.01483312157484678,0.13592503
zinc sulfide (ZnS) (cubic crystal),0.010113415194811801,0.02680968500448758,0.010995587667015265,0.9037671500000003
boron carbide (B4C) (porous),0.010000075684381847,0.011698106707088672,0.016765851333242064,0.774058040000001
thorium carbide (ThC2) (69 pc dense),0.010027791974417364,0.036784862974859805,0.009393719455480471,0.7020945000000003
calcium oxide (CaO) (pressed  91 dens),0.010000010376250744,0.0179024550761176,0.01667684918587457,0.6150622699999996
ytterbium boride (YbB6) (90.6 pc dense),0.010082176447763918,0.03180765655782563,0.00982312809487179,0.5681456300000001
tungsten oxide (Wo3) (polyxtal. porous),0.010028542813684949,0.042918618027802474,0.00821604425047695,0.4546651100000001
aluminum oxide (Al2O3) (polyxtal  55 d),0.010000071246713814,0.012818785601865574,0.016888228960514454,0.9041137300000017
thorium carbide (ThC2) (69 pc dense),0.01009702268184829,0.037904160893997195,0.009172104140122747,0.7020945000000003
niobium beryllide (Nb2Be17),0.01000003131120726,0.018284950484575076,0.015282245096114198,0.59219757
kyanite - aluminum silicate (Al2O3.SiO2) (tricl crystal),0.010000084383434409,0.022742596374525317,0.01399466745799713,0.6433541400000002
silicon carbide (SiC) (rextal  65-70d),0.010098350844222916,0.011080868584379781,0.01857018529279446,0.72347249
titanium,0.010000385417213747,0.02699741162711823,0.010851174983192172,0.6987303199999999
nickel alloy corrosist,0.010001349116472163,0.04521413947997682,0.006742300255474344,0.4481483200000003
tungsten oxide (Wo3) (polyxtal. porous),0.010102576261925804,0.04529866264086771,0.0080862626754616,0.4546651100000001
kyanite - aluminum silicate (Al2O3.SiO2) (tricl crystal),0.01000121158661109,0.022742596374525317,0.01399466745799713,0.6433541400000002
steel stainless hc hd (cast),0.010001281463619493,0.0446331588588194,0.00836204819386749,0.49689466000000043
iron ductile,0.01000406438205917,0.043660304061479055,0.00603179131644352,0.42338012999999963
ytterbium boride (YbB6) (90.6 pc dense),0.010077097163639283,0.03180765655782563,0.00982312809487179,0.5681456300000001
rubidium (liquid),0.010064071591142677,0.009379344681892806,0.0187541758588919,0.5731037799999998
steel stainless hc hd (cast),0.010000390017127644,0.0446331588588194,0.00836204819386749,0.49689466000000043
potassium (liquid),0.010000153567790472,0.008767017358597152,0.018092388017987838,0.5452177499999994
sodium (liquid),0.010000792944924165,0.011026173236392071,0.019857634699611857,0.5922708299999998
aluminum fluosilicate (topaz) (2 AlFO.SiO2) (c-axis),0.010000086115066734,0.022162765073820548,0.015190418736376929,0.18324090999999992
lithium hydride (lih) (cast gas voids),0.010000788329182997,0.008176441779010645,0.01577272854193993,0.4731288999999995
sodium (liquid),0.010038181351577826,0.010939997815582936,0.02041714610035556,0.5922708299999998
titanium nitride (TiN) (hp  70-90 dens),0.010002719538787133,0.026893239000739363,0.00998059963616906,0.6200570699999997
silicon carbide (SiC) (rextal  65-70d),0.01000000220997679,0.011189642225050816,0.017193804966095204,0.72347249
titanium,0.010000000680507814,0.02699741162711823,0.010851174983192172,0.6987303199999999
boron nitride (bn 97  bn2o3 2) (prs ax),0.010000220662601828,0.011535154540678515,0.017039248645305934,0.7653771499999996
yttrium boride (YB6) (98.4 pc dense),0.010113743882782827,0.02495703436414993,0.01164512561361552,0.9077305700000002
yttrium,0.010256024810693065,0.030013291893751966,0.012513071301428456,0.9317498000000008
yttrium boride (YB6) (98.4 pc dense),0.010110912153913087,0.02495703436414993,0.01164512561361552,0.9077305700000002
